project,repository,stars,forks,open_issues_and_prs,contributors,has_discussions,discussions_count,last_push,latest_release,license,source_url,snapshot_date,captured_at_unknown,raw_payload_retained,provenance
AutoGPT,Significant-Gravitas/AutoGPT,185749,46059,512,838,false,N/A,2026-07-31,"beta v0.6.70",NOASSERTION,https://api.github.com/repos/Significant-Gravitas/AutoGPT,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
browser-use,browser-use/browser-use,107396,11815,343,334,true,N/A,2026-07-31,0.13.7,MIT,https://api.github.com/repos/browser-use/browser-use,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
OpenHands,OpenHands/OpenHands,82681,10626,276,506,false,N/A,2026-07-31,v1.8.0,MIT,https://api.github.com/repos/OpenHands/OpenHands,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
MetaGPT,FoundationAgents/MetaGPT,69606,8869,140,148,false,N/A,2026-01-21,"v0.8.1 (2024)",MIT,https://api.github.com/repos/FoundationAgents/MetaGPT,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
AutoGen,microsoft/autogen,60129,9059,972,534,true,N/A,2026-04-15,python-v0.7.5,"path_specific_review",https://api.github.com/repos/microsoft/autogen,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
OpenManus,FoundationAgents/OpenManus,57795,10049,495,60,true,N/A,2026-02-11,"v0.3.0 (2025)",MIT,https://api.github.com/repos/FoundationAgents/OpenManus,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
CrewAI,crewAIInc/crewAI,56430,8026,724,301,false,N/A,2026-07-31,1.15.9,MIT,https://api.github.com/repos/crewAIInc/crewAI,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
LangGraph,langchain-ai/langgraph,38571,6499,652,283,false,N/A,2026-07-31,"checkpointsqlite 3.1.1",MIT,https://api.github.com/repos/langchain-ai/langgraph,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
smolagents,huggingface/smolagents,28611,2826,740,207,true,N/A,2026-07-21,v1.26.0,Apache-2.0,https://api.github.com/repos/huggingface/smolagents,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
DeepAgents,langchain-ai/deepagents,27158,3797,183,140,true,N/A,2026-07-31,0.7.1,MIT,https://api.github.com/repos/langchain-ai/deepagents,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
BabyAGI,yoheinakajima/babyagi,22341,2856,32,2,false,N/A,2026-01-31,N/A,"README: MIT",https://api.github.com/repos/yoheinakajima/babyagi,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
Google ADK,google/adk-python,20958,3776,592,415,true,N/A,2026-07-31,v2.6.0,Apache-2.0,https://api.github.com/repos/google/adk-python,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
Pydantic AI,pydantic/pydantic-ai,18930,2452,608,540,false,N/A,2026-07-31,v2.21.0,MIT,https://api.github.com/repos/pydantic/pydantic-ai,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
open_deep_research,langchain-ai/open_deep_research,12473,1759,72,26,false,N/A,2026-07-25,N/A,MIT,https://api.github.com/repos/langchain-ai/open_deep_research,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
Gemini CLI,google-gemini/gemini-cli,106277,14360,988,N/A,true,N/A,2026-07-31,N/A,Apache-2.0,https://api.github.com/repos/google-gemini/gemini-cli,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
OpenAI Codex,openai/codex,102864,15467,11528,N/A,true,N/A,2026-07-31,N/A,Apache-2.0,https://api.github.com/repos/openai/codex,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
OpenAI Agents SDK,openai/openai-agents-python,28316,4410,55,N/A,false,N/A,2026-07-31,N/A,MIT,https://api.github.com/repos/openai/openai-agents-python,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
SWE-agent,SWE-agent/SWE-agent,19971,2179,54,N/A,false,N/A,2026-07-27,N/A,MIT,https://api.github.com/repos/SWE-agent/SWE-agent,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
Microsoft Agent Framework,microsoft/agent-framework,12515,2099,653,N/A,true,N/A,2026-07-31,N/A,MIT,https://api.github.com/repos/microsoft/agent-framework,2026-07-31,true,false,"unreplayable_table_transcription;repository_endpoint_excludes_contributors_and_latest_release"
